__run_id,__done,run_number,llm,problem_difficulty,problem,energy_usage,cpu_usage
run_84,,r4,GeminiUltra,medium,M-LN,,
run_88,,r8,GeminiUltra,medium,M-LN,,
run_161,,r1,Claude,hard,H-OT,,
run_122,,r2,Claude,easy,E-MX,,
run_43,,r3,GPT-4o,hard,H-OT,,
run_112,,r2,GeminiUltra,hard,H-RC,,
run_157,,r7,Claude,medium,M-WJ,,
run_98,,r8,GeminiUltra,medium,M-WJ,,
run_97,,r7,GeminiUltra,medium,M-WJ,,
run_5,,r5,GPT-4o,easy,E-MX,,
run_67,,r7,GeminiUltra,easy,E-MX,,
run_7,,r7,GPT-4o,easy,E-MX,,
run_76,,r6,GeminiUltra,easy,E-TT,,
run_168,,r8,Claude,hard,H-OT,,
run_119,,r9,GeminiUltra,hard,H-RC,,
run_179,,r9,Claude,hard,H-RC,,
run_2,,r2,GPT-4o,easy,E-MX,,
run_11,,r1,GPT-4o,easy,E-TT,,
run_49,,r9,GPT-4o,hard,H-OT,,
run_104,,r4,GeminiUltra,hard,H-OT,,
run_137,,r7,Claude,easy,E-TT,,
run_175,,r5,Claude,hard,H-RC,,
run_153,,r3,Claude,medium,M-WJ,,
run_12,,r2,GPT-4o,easy,E-TT,,
run_57,,r7,GPT-4o,hard,H-RC,,
run_129,,r9,Claude,easy,E-MX,,
run_26,,r6,GPT-4o,medium,M-LN,,
run_44,,r4,GPT-4o,hard,H-OT,,
run_93,,r3,GeminiUltra,medium,M-WJ,,
run_0,,r0,GPT-4o,easy,E-MX,,
run_69,,r9,GeminiUltra,easy,E-MX,,
run_6,,r6,GPT-4o,easy,E-MX,,
run_177,,r7,Claude,hard,H-RC,,
run_71,,r1,GeminiUltra,easy,E-TT,,
run_120,,r0,Claude,easy,E-MX,,
run_118,,r8,GeminiUltra,hard,H-RC,,
run_133,,r3,Claude,easy,E-TT,,
run_89,,r9,GeminiUltra,medium,M-LN,,
run_21,,r1,GPT-4o,medium,M-LN,,
run_85,,r5,GeminiUltra,medium,M-LN,,
run_34,,r4,GPT-4o,medium,M-WJ,,
run_41,,r1,GPT-4o,hard,H-OT,,
run_141,,r1,Claude,medium,M-LN,,
run_164,,r4,Claude,hard,H-OT,,
run_35,,r5,GPT-4o,medium,M-WJ,,
run_105,,r5,GeminiUltra,hard,H-OT,,
run_51,,r1,GPT-4o,hard,H-RC,,
run_13,,r3,GPT-4o,easy,E-TT,,
run_162,,r2,Claude,hard,H-OT,,
run_60,,r0,GeminiUltra,easy,E-MX,,
run_166,,r6,Claude,hard,H-OT,,
run_152,,r2,Claude,medium,M-WJ,,
run_114,,r4,GeminiUltra,hard,H-RC,,
run_87,,r7,GeminiUltra,medium,M-LN,,
run_91,,r1,GeminiUltra,medium,M-WJ,,
run_136,,r6,Claude,easy,E-TT,,
run_48,,r8,GPT-4o,hard,H-OT,,
run_102,,r2,GeminiUltra,hard,H-OT,,
run_16,,r6,GPT-4o,easy,E-TT,,
run_74,,r4,GeminiUltra,easy,E-TT,,
run_96,,r6,GeminiUltra,medium,M-WJ,,
run_160,,r0,Claude,hard,H-OT,,
run_92,,r2,GeminiUltra,medium,M-WJ,,
run_38,,r8,GPT-4o,medium,M-WJ,,
run_37,,r7,GPT-4o,medium,M-WJ,,
run_46,,r6,GPT-4o,hard,H-OT,,
run_101,,r1,GeminiUltra,hard,H-OT,,
run_107,,r7,GeminiUltra,hard,H-OT,,
run_81,,r1,GeminiUltra,medium,M-LN,,
run_50,,r0,GPT-4o,hard,H-RC,,
run_24,,r4,GPT-4o,medium,M-LN,,
run_173,,r3,Claude,hard,H-RC,,
run_176,,r6,Claude,hard,H-RC,,
run_8,,r8,GPT-4o,easy,E-MX,,
run_68,,r8,GeminiUltra,easy,E-MX,,
run_147,,r7,Claude,medium,M-LN,,
run_31,,r1,GPT-4o,medium,M-WJ,,
run_110,,r0,GeminiUltra,hard,H-RC,,
run_70,,r0,GeminiUltra,easy,E-TT,,
run_109,,r9,GeminiUltra,hard,H-OT,,
run_103,,r3,GeminiUltra,hard,H-OT,,
run_32,,r2,GPT-4o,medium,M-WJ,,
run_40,,r0,GPT-4o,hard,H-OT,,
run_72,,r2,GeminiUltra,easy,E-TT,,
run_131,,r1,Claude,easy,E-TT,,
run_138,,r8,Claude,easy,E-TT,,
run_62,,r2,GeminiUltra,easy,E-MX,,
run_33,,r3,GPT-4o,medium,M-WJ,,
run_54,,r4,GPT-4o,hard,H-RC,,
run_53,,r3,GPT-4o,hard,H-RC,,
run_108,,r8,GeminiUltra,hard,H-OT,,
run_42,,r2,GPT-4o,hard,H-OT,,
run_77,,r7,GeminiUltra,easy,E-TT,,
run_18,,r8,GPT-4o,easy,E-TT,,
run_22,,r2,GPT-4o,medium,M-LN,,
run_158,,r8,Claude,medium,M-WJ,,
run_117,,r7,GeminiUltra,hard,H-RC,,
run_155,,r5,Claude,medium,M-WJ,,
run_63,,r3,GeminiUltra,easy,E-MX,,
run_23,,r3,GPT-4o,medium,M-LN,,
run_83,,r3,GeminiUltra,medium,M-LN,,
run_100,,r0,GeminiUltra,hard,H-OT,,
run_64,,r4,GeminiUltra,easy,E-MX,,
run_148,,r8,Claude,medium,M-LN,,
run_135,,r5,Claude,easy,E-TT,,
run_130,,r0,Claude,easy,E-TT,,
run_17,,r7,GPT-4o,easy,E-TT,,
run_10,,r0,GPT-4o,easy,E-TT,,
run_86,,r6,GeminiUltra,medium,M-LN,,
run_115,,r5,GeminiUltra,hard,H-RC,,
run_4,,r4,GPT-4o,easy,E-MX,,
run_123,,r3,Claude,easy,E-MX,,
run_28,,r8,GPT-4o,medium,M-LN,,
run_25,,r5,GPT-4o,medium,M-LN,,
run_113,,r3,GeminiUltra,hard,H-RC,,
run_167,,r7,Claude,hard,H-OT,,
run_116,,r6,GeminiUltra,hard,H-RC,,
run_45,,r5,GPT-4o,hard,H-OT,,
run_149,,r9,Claude,medium,M-LN,,
run_121,,r1,Claude,easy,E-MX,,
run_80,,r0,GeminiUltra,medium,M-LN,,
run_82,,r2,GeminiUltra,medium,M-LN,,
run_172,,r2,Claude,hard,H-RC,,
run_15,,r5,GPT-4o,easy,E-TT,,
run_19,,r9,GPT-4o,easy,E-TT,,
run_78,,r8,GeminiUltra,easy,E-TT,,
run_169,,r9,Claude,hard,H-OT,,
run_39,,r9,GPT-4o,medium,M-WJ,,
run_125,,r5,Claude,easy,E-MX,,
run_139,,r9,Claude,easy,E-TT,,
run_75,,r5,GeminiUltra,easy,E-TT,,
run_106,,r6,GeminiUltra,hard,H-OT,,
run_30,,r0,GPT-4o,medium,M-WJ,,
run_73,,r3,GeminiUltra,easy,E-TT,,
run_134,,r4,Claude,easy,E-TT,,
run_9,,r9,GPT-4o,easy,E-MX,,
run_151,,r1,Claude,medium,M-WJ,,
run_163,,r3,Claude,hard,H-OT,,
run_159,,r9,Claude,medium,M-WJ,,
run_127,,r7,Claude,easy,E-MX,,
run_146,,r6,Claude,medium,M-LN,,
run_111,,r1,GeminiUltra,hard,H-RC,,
run_29,,r9,GPT-4o,medium,M-LN,,
run_95,,r5,GeminiUltra,medium,M-WJ,,
run_142,,r2,Claude,medium,M-LN,,
run_145,,r5,Claude,medium,M-LN,,
run_170,,r0,Claude,hard,H-RC,,
run_140,,r0,Claude,medium,M-LN,,
run_52,,r2,GPT-4o,hard,H-RC,,
run_66,,r6,GeminiUltra,easy,E-MX,,
run_65,,r5,GeminiUltra,easy,E-MX,,
run_124,,r4,Claude,easy,E-MX,,
run_1,,r1,GPT-4o,easy,E-MX,,
run_143,,r3,Claude,medium,M-LN,,
run_165,,r5,Claude,hard,H-OT,,
run_126,,r6,Claude,easy,E-MX,,
run_174,,r4,Claude,hard,H-RC,,
run_61,,r1,GeminiUltra,easy,E-MX,,
run_132,,r2,Claude,easy,E-TT,,
run_144,,r4,Claude,medium,M-LN,,
run_150,,r0,Claude,medium,M-WJ,,
run_59,,r9,GPT-4o,hard,H-RC,,
run_56,,r6,GPT-4o,hard,H-RC,,
run_55,,r5,GPT-4o,hard,H-RC,,
run_79,,r9,GeminiUltra,easy,E-TT,,
run_154,,r4,Claude,medium,M-WJ,,
run_14,,r4,GPT-4o,easy,E-TT,,
run_99,,r9,GeminiUltra,medium,M-WJ,,
run_94,,r4,GeminiUltra,medium,M-WJ,,
run_128,,r8,Claude,easy,E-MX,,
run_47,,r7,GPT-4o,hard,H-OT,,
run_20,,r0,GPT-4o,medium,M-LN,,
run_36,,r6,GPT-4o,medium,M-WJ,,
run_58,,r8,GPT-4o,hard,H-RC,,
run_3,,r3,GPT-4o,easy,E-MX,,
run_27,,r7,GPT-4o,medium,M-LN,,
run_156,,r6,Claude,medium,M-WJ,,
run_90,,r0,GeminiUltra,medium,M-WJ,,
run_171,,r1,Claude,hard,H-RC,,
run_178,,r8,Claude,hard,H-RC,,
