__run_id,__done,run_number,llm,problem_difficulty,problem,prompt_i,power_consumption,cpu_usage
run_403,,r1,GeminiUltra,easy,E-PN,1,,
run_792,,r0,Claude,easy,E-UE,0,,
run_532,,r1,GeminiUltra,medium,M-CS,1,,
run_519,,r0,GeminiUltra,medium,M-CS,0,,
run_928,,r1,Claude,medium,M-GS,1,,
run_79,,r1,GPT-4o,easy,E-UE,1,,
run_826,,r1,Claude,easy,E-UE,1,,
run_83,,r2,GPT-4o,easy,E-UE,2,,
run_569,,r2,GeminiUltra,medium,M-GS,2,,
run_145,,r1,GPT-4o,medium,M-CS,1,,
run_997,,r1,Claude,hard,H-SF,1,,
run_1053,,r0,Claude,hard,H-MN,0,,
run_827,,r2,Claude,easy,E-UE,2,,
run_1011,,r0,Claude,hard,H-SF,0,,
run_609,,r0,GeminiUltra,hard,H-SF,0,,
run_602,,r2,GeminiUltra,hard,H-SF,2,,
run_748,,r1,Claude,easy,E-PN,1,,
run_482,,r2,GeminiUltra,medium,M-CS,2,,
run_370,,r1,GeminiUltra,easy,E-PN,1,,
run_971,,r2,Claude,hard,H-SF,2,,
run_72,,r0,GPT-4o,easy,E-UE,0,,
run_629,,r2,GeminiUltra,hard,H-SF,2,,
run_3,,r0,GPT-4o,easy,E-PN,0,,
run_485,,r2,GeminiUltra,medium,M-CS,2,,
run_696,,r0,GeminiUltra,hard,H-MN,0,,
run_949,,r1,Claude,medium,M-GS,1,,
run_715,,r1,GeminiUltra,hard,H-MN,1,,
run_564,,r0,GeminiUltra,medium,M-GS,0,,
run_234,,r0,GPT-4o,medium,M-GS,0,,
run_1032,,r0,Claude,hard,H-MN,0,,
run_1057,,r1,Claude,hard,H-MN,1,,
run_859,,r1,Claude,medium,M-CS,1,,
run_465,,r0,GeminiUltra,easy,E-UE,0,,
run_346,,r1,GPT-4o,hard,H-MN,1,,
run_880,,r1,Claude,medium,M-CS,1,,
run_502,,r1,GeminiUltra,medium,M-CS,1,,
run_926,,r2,Claude,medium,M-GS,2,,
run_552,,r0,GeminiUltra,medium,M-GS,0,,
run_33,,r0,GPT-4o,easy,E-PN,0,,
run_494,,r2,GeminiUltra,medium,M-CS,2,,
run_716,,r2,GeminiUltra,hard,H-MN,2,,
run_808,,r1,Claude,easy,E-UE,1,,
run_953,,r2,Claude,medium,M-GS,2,,
run_372,,r0,GeminiUltra,easy,E-PN,0,,
run_255,,r0,GPT-4o,hard,H-SF,0,,
run_659,,r2,GeminiUltra,hard,H-SF,2,,
run_261,,r0,GPT-4o,hard,H-SF,0,,
run_354,,r0,GPT-4o,hard,H-MN,0,,
run_943,,r1,Claude,medium,M-GS,1,,
run_154,,r1,GPT-4o,medium,M-CS,1,,
run_1012,,r1,Claude,hard,H-SF,1,,
run_848,,r2,Claude,medium,M-CS,2,,
run_576,,r0,GeminiUltra,medium,M-GS,0,,
run_761,,r2,Claude,easy,E-PN,2,,
run_89,,r2,GPT-4o,easy,E-UE,2,,
run_70,,r1,GPT-4o,easy,E-UE,1,,
run_593,,r2,GeminiUltra,medium,M-GS,2,,
run_862,,r1,Claude,medium,M-CS,1,,
run_328,,r1,GPT-4o,hard,H-MN,1,,
run_912,,r0,Claude,medium,M-GS,0,,
run_61,,r1,GPT-4o,easy,E-UE,1,,
run_771,,r0,Claude,easy,E-PN,0,,
run_1027,,r1,Claude,hard,H-MN,1,,
run_117,,r0,GPT-4o,easy,E-UE,0,,
run_384,,r0,GeminiUltra,easy,E-PN,0,,
run_506,,r2,GeminiUltra,medium,M-CS,2,,
run_171,,r0,GPT-4o,medium,M-CS,0,,
run_196,,r1,GPT-4o,medium,M-GS,1,,
run_734,,r2,Claude,easy,E-PN,2,,
run_41,,r2,GPT-4o,easy,E-PN,2,,
run_398,,r2,GeminiUltra,easy,E-PN,2,,
run_1058,,r2,Claude,hard,H-MN,2,,
run_1028,,r2,Claude,hard,H-MN,2,,
run_938,,r2,Claude,medium,M-GS,2,,
run_169,,r1,GPT-4o,medium,M-CS,1,,
run_331,,r1,GPT-4o,hard,H-MN,1,,
run_907,,r1,Claude,medium,M-GS,1,,
run_228,,r0,GPT-4o,medium,M-GS,0,,
run_77,,r2,GPT-4o,easy,E-UE,2,,
run_333,,r0,GPT-4o,hard,H-MN,0,,
run_710,,r2,GeminiUltra,hard,H-MN,2,,
run_998,,r2,Claude,hard,H-SF,2,,
run_1070,,r2,Claude,hard,H-MN,2,,
run_969,,r0,Claude,hard,H-SF,0,,
run_984,,r0,Claude,hard,H-SF,0,,
run_829,,r1,Claude,easy,E-UE,1,,
run_191,,r2,GPT-4o,medium,M-GS,2,,
run_508,,r1,GeminiUltra,medium,M-CS,1,,
run_584,,r2,GeminiUltra,medium,M-GS,2,,
run_1020,,r0,Claude,hard,H-MN,0,,
run_339,,r0,GPT-4o,hard,H-MN,0,,
run_82,,r1,GPT-4o,easy,E-UE,1,,
run_36,,r0,GPT-4o,easy,E-PN,0,,
run_996,,r0,Claude,hard,H-SF,0,,
run_728,,r2,Claude,easy,E-PN,2,,
run_555,,r0,GeminiUltra,medium,M-GS,0,,
run_188,,r2,GPT-4o,medium,M-GS,2,,
run_513,,r0,GeminiUltra,medium,M-CS,0,,
run_601,,r1,GeminiUltra,hard,H-SF,1,,
run_500,,r2,GeminiUltra,medium,M-CS,2,,
run_582,,r0,GeminiUltra,medium,M-GS,0,,
run_129,,r0,GPT-4o,medium,M-CS,0,,
run_319,,r1,GPT-4o,hard,H-MN,1,,
run_1037,,r2,Claude,hard,H-MN,2,,
run_820,,r1,Claude,easy,E-UE,1,,
run_976,,r1,Claude,hard,H-SF,1,,
run_274,,r1,GPT-4o,hard,H-SF,1,,
run_581,,r2,GeminiUltra,medium,M-GS,2,,
run_259,,r1,GPT-4o,hard,H-SF,1,,
run_393,,r0,GeminiUltra,easy,E-PN,0,,
run_390,,r0,GeminiUltra,easy,E-PN,0,,
run_853,,r1,Claude,medium,M-CS,1,,
run_667,,r1,GeminiUltra,hard,H-MN,1,,
run_917,,r2,Claude,medium,M-GS,2,,
run_265,,r1,GPT-4o,hard,H-SF,1,,
run_431,,r2,GeminiUltra,easy,E-UE,2,,
run_179,,r2,GPT-4o,medium,M-CS,2,,
run_270,,r0,GPT-4o,hard,H-SF,0,,
run_293,,r2,GPT-4o,hard,H-SF,2,,
run_202,,r1,GPT-4o,medium,M-GS,1,,
run_794,,r2,Claude,easy,E-UE,2,,
run_1001,,r2,Claude,hard,H-SF,2,,
run_530,,r2,GeminiUltra,medium,M-CS,2,,
run_528,,r0,GeminiUltra,medium,M-CS,0,,
run_436,,r1,GeminiUltra,easy,E-UE,1,,
run_185,,r2,GPT-4o,medium,M-GS,2,,
run_286,,r1,GPT-4o,hard,H-SF,1,,
run_1039,,r1,Claude,hard,H-MN,1,,
run_742,,r1,Claude,easy,E-PN,1,,
run_772,,r1,Claude,easy,E-PN,1,,
run_499,,r1,GeminiUltra,medium,M-CS,1,,
run_927,,r0,Claude,medium,M-GS,0,,
run_985,,r1,Claude,hard,H-SF,1,,
run_31,,r1,GPT-4o,easy,E-PN,1,,
run_43,,r1,GPT-4o,easy,E-PN,1,,
run_967,,r1,Claude,hard,H-SF,1,,
run_573,,r0,GeminiUltra,medium,M-GS,0,,
run_572,,r2,GeminiUltra,medium,M-GS,2,,
run_547,,r1,GeminiUltra,medium,M-GS,1,,
run_940,,r1,Claude,medium,M-GS,1,,
run_642,,r0,GeminiUltra,hard,H-SF,0,,
run_396,,r0,GeminiUltra,easy,E-PN,0,,
run_357,,r0,GPT-4o,hard,H-MN,0,,
run_1064,,r2,Claude,hard,H-MN,2,,
run_785,,r2,Claude,easy,E-UE,2,,
run_405,,r0,GeminiUltra,easy,E-PN,0,,
run_726,,r0,Claude,easy,E-PN,0,,
run_987,,r0,Claude,hard,H-SF,0,,
run_877,,r1,Claude,medium,M-CS,1,,
run_811,,r1,Claude,easy,E-UE,1,,
run_126,,r0,GPT-4o,medium,M-CS,0,,
run_946,,r1,Claude,medium,M-GS,1,,
run_143,,r2,GPT-4o,medium,M-CS,2,,
run_903,,r0,Claude,medium,M-GS,0,,
